month,qty,product
2018_06,15,AT11925513007
2018_07,8,AT11925513007
2018_08,10,AT11925513007
2018_09,13,AT11925513007
2018_10,21,AT11925513007
2018_11,12,AT11925513007
2018_12,6,AT11925513007
2019_01,13,AT11925513007
2019_02,5,AT11925513007
2016_01,24,AT11925542748
2016_02,22,AT11925542748
2016_03,22,AT11925542748
2016_04,38,AT11925542748
2016_05,22,AT11925542748
2016_06,19,AT11925542748
2016_07,29,AT11925542748
2016_08,16,AT11925542748
2016_09,29,AT11925542748
2016_10,15,AT11925542748
2016_11,26,AT11925542748
2016_12,20,AT11925542748
2017_01,29,AT11925542748
2017_02,22,AT11925542748
2017_03,34,AT11925542748
2017_04,16,AT11925542748
2017_05,27,AT11925542748
2017_06,30,AT11925542748
2017_07,23,AT11925542748
2017_08,43,AT11925542748
2017_09,34,AT11925542748
2017_10,23,AT11925542748
2017_11,33,AT11925542748
2017_12,24,AT11925542748
2018_01,26,AT11925542748
2018_02,21,AT11925542748
2018_03,53,AT11925542748
2018_04,26,AT11925542748
2018_05,30,AT11925542748
2018_06,29,AT11925542748
2018_07,34,AT11925542748
2018_08,28,AT11925542748
2018_09,31,AT11925542748
2018_10,58,AT11925542748
2018_11,33,AT11925542748
2018_12,32,AT11925542748
2019_01,41,AT11925542748
2019_02,38,AT11925542748
2016_01,32,AT11925875727
2016_02,48,AT11925875727
2016_03,52,AT11925875727
2016_04,72,AT11925875727
2016_05,48,AT11925875727
2016_06,36,AT11925875727
2016_07,54,AT11925875727
2016_08,52,AT11925875727
2016_09,75,AT11925875727
2016_10,101,AT11925875727
2016_11,54,AT11925875727
2016_12,52,AT11925875727
2017_01,62,AT11925875727
2017_02,50,AT11925875727
2017_03,64,AT11925875727
2017_04,58,AT11925875727
2017_05,43,AT11925875727
2017_06,52,AT11925875727
2017_07,44,AT11925875727
2017_08,61,AT11925875727
2017_09,72,AT11925875727
2017_10,50,AT11925875727
2017_11,43,AT11925875727
2017_12,24,AT11925875727
2018_01,51,AT11925875727
2018_02,92,AT11925875727
2018_03,47,AT11925875727
2018_04,44,AT11925875727
2018_05,38,AT11925875727
2018_06,32,AT11925875727
2018_07,31,AT11925875727
2018_08,41,AT11925875727
2018_09,73,AT11925875727
2018_10,33,AT11925875727
2018_11,42,AT11925875727
2018_12,28,AT11925875727
2019_01,45,AT11925875727
2019_02,22,AT11925875727
2016_01,24,AT11933009209
2016_02,15,AT11933009209
2016_03,21,AT11933009209
2016_04,34,AT11933009209
2016_05,35,AT11933009209
2016_06,50,AT11933009209
2016_07,47,AT11933009209
2016_08,33,AT11933009209
2016_09,16,AT11933009209
2016_10,17,AT11933009209
2016_11,15,AT11933009209
2016_12,13,AT11933009209
2017_01,9,AT11933009209
2017_02,11,AT11933009209
2017_03,19,AT11933009209
2017_04,24,AT11933009209
2017_05,21,AT11933009209
2017_06,35,AT11933009209
2017_07,45,AT11933009209
2017_08,19,AT11933009209
2017_09,21,AT11933009209
2017_10,13,AT11933009209
2017_11,8,AT11933009209
2017_12,4,AT11933009209
2018_01,10,AT11933009209
2018_02,4,AT11933009209
2018_03,9,AT11933009209
2018_04,21,AT11933009209
2018_05,15,AT11933009209
2018_06,36,AT11933009209
2018_07,18,AT11933009209
2018_08,24,AT11933009209
2018_09,9,AT11933009209
2018_10,7,AT11933009209
2018_11,17,AT11933009209
2018_12,7,AT11933009209
2019_01,10,AT11933009209
2019_02,8,AT11933009209
2016_01,23,AT11933012466
2016_02,33,AT11933012466
2016_03,23,AT11933012466
2016_04,75,AT11933012466
2016_05,45,AT11933012466
2016_06,93,AT11933012466
2016_07,95,AT11933012466
2016_08,92,AT11933012466
2016_09,60,AT11933012466
2016_10,29,AT11933012466
2016_11,23,AT11933012466
2016_12,11,AT11933012466
2017_01,60,AT11933012466
2017_02,19,AT11933012466
2017_03,41,AT11933012466
2017_04,57,AT11933012466
2017_05,58,AT11933012466
2017_06,149,AT11933012466
2017_07,61,AT11933012466
2017_08,40,AT11933012466
2017_09,33,AT11933012466
2017_10,24,AT11933012466
2017_11,26,AT11933012466
2017_12,20,AT11933012466
2018_01,44,AT11933012466
2018_02,75,AT11933012466
2018_03,27,AT11933012466
2018_04,98,AT11933012466
2018_05,66,AT11933012466
2018_06,63,AT11933012466
2018_07,59,AT11933012466
2018_08,78,AT11933012466
2018_09,29,AT11933012466
2018_10,23,AT11933012466
2018_11,37,AT11933012466
2018_12,9,AT11933012466
2019_01,22,AT11933012466
2019_02,29,AT11933012466
2016_01,40,AT11933012722
2016_02,17,AT11933012722
2016_03,53,AT11933012722
2016_04,36,AT11933012722
2016_05,37,AT11933012722
2016_06,41,AT11933012722
2016_07,50,AT11933012722
2016_08,37,AT11933012722
2016_09,60,AT11933012722
2016_10,40,AT11933012722
2016_11,36,AT11933012722
2016_12,19,AT11933012722
2017_01,54,AT11933012722
2017_02,40,AT11933012722
2017_03,19,AT11933012722
2017_04,45,AT11933012722
2017_05,24,AT11933012722
2017_06,45,AT11933012722
2017_07,43,AT11933012722
2017_08,34,AT11933012722
2017_09,41,AT11933012722
2017_10,64,AT11933012722
2017_11,30,AT11933012722
2017_12,35,AT11933012722
2018_01,48,AT11933012722
2018_02,17,AT11933012722
2018_03,51,AT11933012722
2018_04,49,AT11933012722
2018_05,44,AT11933012722
2018_06,77,AT11933012722
2018_07,81,AT11933012722
2018_08,73,AT11933012722
2018_09,67,AT11933012722
2018_10,72,AT11933012722
2018_11,63,AT11933012722
2018_12,54,AT11933012722
2019_01,80,AT11933012722
2019_02,58,AT11933012722
2016_01,177,AT11933015118
2016_02,86,AT11933015118
2016_03,72,AT11933015118
2016_04,77,AT11933015118
2016_05,70,AT11933015118
2016_06,126,AT11933015118
2016_07,122,AT11933015118
2016_08,95,AT11933015118
2016_09,87,AT11933015118
2016_10,89,AT11933015118
2016_11,104,AT11933015118
2016_12,61,AT11933015118
2017_01,71,AT11933015118
2017_02,85,AT11933015118
2017_03,55,AT11933015118
2017_04,73,AT11933015118
2017_05,56,AT11933015118
2017_06,103,AT11933015118
2017_07,76,AT11933015118
2017_08,73,AT11933015118
2017_09,103,AT11933015118
2017_10,49,AT11933015118
2017_11,88,AT11933015118
2017_12,49,AT11933015118
2018_01,73,AT11933015118
2018_02,44,AT11933015118
2018_03,92,AT11933015118
2018_04,49,AT11933015118
2018_05,86,AT11933015118
2018_06,62,AT11933015118
2018_07,83,AT11933015118
2018_08,93,AT11933015118
2018_09,64,AT11933015118
2018_10,64,AT11933015118
2018_11,156,AT11933015118
2018_12,31,AT11933015118
2019_01,102,AT11933015118
2019_02,64,AT11933015118
2016_01,82,AT11933015119
2016_02,73,AT11933015119
2016_03,74,AT11933015119
2016_04,75,AT11933015119
2016_05,79,AT11933015119
2016_06,95,AT11933015119
2016_07,95,AT11933015119
2016_08,125,AT11933015119
2016_09,137,AT11933015119
2016_10,120,AT11933015119
2016_11,63,AT11933015119
2016_12,55,AT11933015119
2017_01,83,AT11933015119
2017_02,60,AT11933015119
2017_03,58,AT11933015119
2017_04,59,AT11933015119
2017_05,61,AT11933015119
2017_06,87,AT11933015119
2017_07,75,AT11933015119
2017_08,89,AT11933015119
2017_09,73,AT11933015119
2017_10,85,AT11933015119
2017_11,57,AT11933015119
2017_12,43,AT11933015119
2018_01,50,AT11933015119
2018_02,49,AT11933015119
2018_03,42,AT11933015119
2018_04,48,AT11933015119
2018_05,42,AT11933015119
2018_06,46,AT11933015119
2018_07,46,AT11933015119
2018_08,89,AT11933015119
2018_09,55,AT11933015119
2018_10,55,AT11933015119
2018_11,56,AT11933015119
2018_12,31,AT11933015119
2019_01,50,AT11933015119
2019_02,33,AT11933015119
2016_01,94,AT11933016117
2016_02,85,AT11933016117
2016_03,76,AT11933016117
2016_04,72,AT11933016117
2016_05,86,AT11933016117
2016_06,88,AT11933016117
2016_07,89,AT11933016117
2016_08,111,AT11933016117
2016_09,130,AT11933016117
2016_10,99,AT11933016117
2016_11,126,AT11933016117
2016_12,41,AT11933016117
2017_01,65,AT11933016117
2017_02,106,AT11933016117
2017_03,80,AT11933016117
2017_04,66,AT11933016117
2017_05,58,AT11933016117
2017_06,81,AT11933016117
2017_07,60,AT11933016117
2017_08,78,AT11933016117
2017_09,81,AT11933016117
2017_10,96,AT11933016117
2017_11,60,AT11933016117
2017_12,37,AT11933016117
2018_01,65,AT11933016117
2018_02,54,AT11933016117
2018_03,73,AT11933016117
2018_04,103,AT11933016117
2018_05,71,AT11933016117
2018_06,82,AT11933016117
2018_07,62,AT11933016117
2018_08,64,AT11933016117
2018_09,71,AT11933016117
2018_10,102,AT11933016117
2018_11,71,AT11933016117
2018_12,41,AT11933016117
2019_01,59,AT11933016117
2019_02,49,AT11933016117
2016_01,41,AT11933025034
2016_02,47,AT11933025034
2016_03,46,AT11933025034
2016_04,40,AT11933025034
2016_05,28,AT11933025034
2016_06,94,AT11933025034
2016_07,48,AT11933025034
2016_08,53,AT11933025034
2016_09,121,AT11933025034
2016_10,39,AT11933025034
2016_11,82,AT11933025034
2016_12,26,AT11933025034
2017_01,23,AT11933025034
2017_02,35,AT11933025034
2017_03,40,AT11933025034
2017_04,25,AT11933025034
2017_05,49,AT11933025034
2017_06,46,AT11933025034
2017_07,67,AT11933025034
2017_08,69,AT11933025034
2017_09,35,AT11933025034
2017_10,51,AT11933025034
2017_11,65,AT11933025034
2017_12,43,AT11933025034
2018_01,49,AT11933025034
2018_02,84,AT11933025034
2018_03,52,AT11933025034
2018_04,64,AT11933025034
2018_05,67,AT11933025034
2018_06,58,AT11933025034
2018_07,33,AT11933025034
2018_08,54,AT11933025034
2018_09,93,AT11933025034
2018_10,95,AT11933025034
2018_11,106,AT11933025034
2018_12,35,AT11933025034
2019_01,33,AT11933025034
2019_02,27,AT11933025034
2016_01,5,AT11933033007
2016_02,5,AT11933033007
2016_03,13,AT11933033007
2016_04,24,AT11933033007
2016_05,10,AT11933033007
2016_06,11,AT11933033007
2016_07,17,AT11933033007
2016_08,20,AT11933033007
2016_09,26,AT11933033007
2016_10,23,AT11933033007
2016_11,16,AT11933033007
2016_12,11,AT11933033007
2017_01,16,AT11933033007
2017_02,11,AT11933033007
2017_03,37,AT11933033007
2017_04,13,AT11933033007
2017_05,22,AT11933033007
2017_06,15,AT11933033007
2017_07,18,AT11933033007
2017_08,19,AT11933033007
2017_09,11,AT11933033007
2017_10,27,AT11933033007
2017_11,25,AT11933033007
2017_12,14,AT11933033007
2018_01,25,AT11933033007
2018_02,16,AT11933033007
2018_03,10,AT11933033007
2018_04,10,AT11933033007
2018_05,7,AT11933033007
2018_06,19,AT11933033007
2018_07,14,AT11933033007
2018_08,22,AT11933033007
2018_09,25,AT11933033007
2018_10,7,AT11933033007
2018_11,10,AT11933033007
2018_12,8,AT11933033007
2019_01,13,AT11933033007
2019_02,16,AT11933033007
2016_01,3,AT11933033106
2016_02,4,AT11933033106
2016_03,3,AT11933033106
2016_04,4,AT11933033106
2016_05,15,AT11933033106
2016_06,10,AT11933033106
2016_07,8,AT11933033106
2016_08,10,AT11933033106
2016_09,49,AT11933033106
2016_10,8,AT11933033106
2016_11,74,AT11933033106
2016_12,6,AT11933033106
2017_01,9,AT11933033106
2017_02,11,AT11933033106
2017_03,5,AT11933033106
2017_04,7,AT11933033106
2017_05,7,AT11933033106
2017_06,27,AT11933033106
2017_07,9,AT11933033106
2017_08,9,AT11933033106
2017_09,11,AT11933033106
2017_10,13,AT11933033106
2017_11,16,AT11933033106
2017_12,3,AT11933033106
2018_01,8,AT11933033106
2018_02,6,AT11933033106
2018_03,15,AT11933033106
2018_04,18,AT11933033106
2018_05,15,AT11933033106
2018_06,22,AT11933033106
2018_07,21,AT11933033106
2018_08,32,AT11933033106
2018_09,33,AT11933033106
2018_10,39,AT11933033106
2018_11,48,AT11933033106
2018_12,29,AT11933033106
2019_01,31,AT11933033106
2019_02,29,AT11933033106
2016_01,5,AT11933033107
2016_02,18,AT11933033107
2016_03,23,AT11933033107
2016_04,32,AT11933033107
2016_05,29,AT11933033107
2016_06,27,AT11933033107
2016_07,27,AT11933033107
2016_08,14,AT11933033107
2016_09,32,AT11933033107
2016_10,19,AT11933033107
2016_11,31,AT11933033107
2016_12,10,AT11933033107
2017_01,19,AT11933033107
2017_02,34,AT11933033107
2017_03,23,AT11933033107
2017_04,20,AT11933033107
2017_05,16,AT11933033107
2017_06,28,AT11933033107
2017_07,17,AT11933033107
2017_08,46,AT11933033107
2017_09,41,AT11933033107
2017_10,41,AT11933033107
2017_11,12,AT11933033107
2017_12,9,AT11933033107
2018_01,38,AT11933033107
2018_02,25,AT11933033107
2018_03,109,AT11933033107
2018_04,11,AT11933033107
2018_05,23,AT11933033107
2018_06,23,AT11933033107
2018_07,18,AT11933033107
2018_08,28,AT11933033107
2018_09,20,AT11933033107
2018_10,22,AT11933033107
2018_11,19,AT11933033107
2018_12,6,AT11933033107
2019_01,33,AT11933033107
2019_02,46,AT11933033107
2016_01,16,AT11933033512
2016_02,59,AT11933033512
2016_03,58,AT11933033512
2016_04,52,AT11933033512
2016_05,36,AT11933033512
2016_06,80,AT11933033512
2016_07,52,AT11933033512
2016_08,78,AT11933033512
2016_09,79,AT11933033512
2016_10,23,AT11933033512
2016_11,68,AT11933033512
2016_12,24,AT11933033512
2017_01,35,AT11933033512
2017_02,30,AT11933033512
2017_03,47,AT11933033512
2017_04,53,AT11933033512
2017_05,29,AT11933033512
2017_06,31,AT11933033512
2017_07,30,AT11933033512
2017_08,25,AT11933033512
2017_09,34,AT11933033512
2017_10,42,AT11933033512
2017_11,50,AT11933033512
2017_12,30,AT11933033512
2018_01,49,AT11933033512
2018_02,33,AT11933033512
2018_03,20,AT11933033512
2018_04,36,AT11933033512
2018_05,37,AT11933033512
2018_06,57,AT11933033512
2018_07,48,AT11933033512
2018_08,51,AT11933033512
2018_09,40,AT11933033512
2018_10,37,AT11933033512
2018_11,46,AT11933033512
2018_12,27,AT11933033512
2019_01,50,AT11933033512
2019_02,41,AT11933033512
2016_01,2,AT11933033514
2016_02,3,AT11933033514
2016_03,19,AT11933033514
2016_04,16,AT11933033514
2016_05,10,AT11933033514
2016_06,17,AT11933033514
2016_07,11,AT11933033514
2016_08,19,AT11933033514
2016_09,14,AT11933033514
2016_10,14,AT11933033514
2016_11,19,AT11933033514
2016_12,21,AT11933033514
2017_01,16,AT11933033514
2017_02,12,AT11933033514
2017_03,31,AT11933033514
2017_04,14,AT11933033514
2017_05,20,AT11933033514
2017_06,25,AT11933033514
2017_07,20,AT11933033514
2017_08,10,AT11933033514
2017_09,20,AT11933033514
2017_10,15,AT11933033514
2017_11,27,AT11933033514
2017_12,12,AT11933033514
2018_01,10,AT11933033514
2018_02,11,AT11933033514
2018_03,9,AT11933033514
2018_04,7,AT11933033514
2018_05,10,AT11933033514
2018_06,27,AT11933033514
2018_07,10,AT11933033514
2018_08,8,AT11933033514
2018_09,24,AT11933033514
2018_10,11,AT11933033514
2018_11,15,AT11933033514
2018_12,12,AT11933033514
2019_01,7,AT11933033514
2019_02,19,AT11933033514
2016_01,14,AT11933033711
2016_02,16,AT11933033711
2016_03,34,AT11933033711
2016_04,21,AT11933033711
2016_05,21,AT11933033711
2016_06,53,AT11933033711
2016_07,29,AT11933033711
2016_08,31,AT11933033711
2016_09,61,AT11933033711
2016_10,45,AT11933033711
2016_11,35,AT11933033711
2016_12,21,AT11933033711
2017_01,30,AT11933033711
2017_02,30,AT11933033711
2017_03,25,AT11933033711
2017_04,27,AT11933033711
2017_05,30,AT11933033711
2017_06,34,AT11933033711
2017_07,21,AT11933033711
2017_08,39,AT11933033711
2017_09,25,AT11933033711
2017_10,24,AT11933033711
2017_11,23,AT11933033711
2017_12,17,AT11933033711
2018_01,20,AT11933033711
2018_02,19,AT11933033711
2018_03,27,AT11933033711
2018_04,11,AT11933033711
2018_05,26,AT11933033711
2018_06,14,AT11933033711
2018_07,30,AT11933033711
2018_08,46,AT11933033711
2018_09,31,AT11933033711
2018_10,25,AT11933033711
2018_11,32,AT11933033711
2018_12,11,AT11933033711
2019_01,29,AT11933033711
2019_02,21,AT11933033711
2016_01,7,AT11943004760
2016_02,8,AT11943004760
2016_03,5,AT11943004760
2016_04,24,AT11943004760
2016_05,9,AT11943004760
2016_06,8,AT11943004760
2016_07,22,AT11943004760
2016_08,20,AT11943004760
2016_09,19,AT11943004760
2016_10,17,AT11943004760
2016_11,18,AT11943004760
2016_12,11,AT11943004760
2017_01,18,AT11943004760
2017_02,17,AT11943004760
2017_03,14,AT11943004760
2017_04,21,AT11943004760
2017_05,20,AT11943004760
2017_06,20,AT11943004760
2017_07,24,AT11943004760
2017_08,18,AT11943004760
2017_09,26,AT11943004760
2017_10,38,AT11943004760
2017_11,11,AT11943004760
2017_12,17,AT11943004760
2018_01,26,AT11943004760
2018_02,17,AT11943004760
2018_03,20,AT11943004760
2018_04,29,AT11943004760
2018_05,11,AT11943004760
2018_06,24,AT11943004760
2018_07,31,AT11943004760
2018_08,34,AT11943004760
2018_09,18,AT11943004760
2018_10,8,AT11943004760
2018_11,28,AT11943004760
2018_12,16,AT11943004760
2019_01,30,AT11943004760
2019_02,29,AT11943004760
2016_01,7,AT11943004761
2016_02,13,AT11943004761
2016_03,16,AT11943004761
2016_04,13,AT11943004761
2016_05,8,AT11943004761
2016_06,16,AT11943004761
2016_07,23,AT11943004761
2016_08,18,AT11943004761
2016_09,11,AT11943004761
2016_10,19,AT11943004761
2016_11,24,AT11943004761
